condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,stage2Loop.thisRepN,stage2Loop.thisTrialN,stage2Loop.thisN,stage2Loop.thisIndex,blockLoop2.thisRepN,blockLoop2.thisTrialN,blockLoop2.thisN,blockLoop2.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,instructions_2.started,instructions_2.stopped,end_instructions_resp_2.keys,end_instructions_resp_2.rt,end_instructions_resp_2.started,end_instructions_resp_2.stopped,press_space_to_continue_stage2.started,press_space_to_continue_stage2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
condition files/Stage0b_1.xlsx,0b,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.8327932550019,None,185.8327932550019,None,185.8327932550019,None,g,0,0.5372316159991897,187.37214089600093,None,187.37214089600093,None,187.37214089600093,None,187.96702162200017,None,187.96702162200017,None,187.96702162200017,None,187.96702162200017,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_1.xlsx,0b,none,beta,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,8,8,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.93329707000157,None,189.93329707000157,None,189.93329707000157,None,g,1,0.44056750100207864,191.46879222699863,None,191.46879222699863,None,191.46879222699863,None,191.9834316560009,None,191.9834316560009,None,191.9834316560009,None,191.9834316560009,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_2.xlsx,0b,beta,none,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,9,9,9,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.95035929699952,None,193.95035929699952,None,193.95035929699952,None,g,1,0.6294986210014031,195.48772713899962,None,195.48772713899962,None,195.48772713899962,None,196.18341281299945,None,196.18341281299945,None,196.18341281299945,None,196.18341281299945,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_2.xlsx,0b,none,alpha,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,9,9,9,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.15001238900004,None,198.15001238900004,None,198.15001238900004,None,h,1,0.5433874779992038,199.68587776799905,None,199.68587776799905,None,199.68587776799905,None,200.28460176999943,None,200.28460176999943,None,200.28460176999943,None,200.28460176999943,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_1.xlsx,0b,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,10,10,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.26698900400152,None,202.26698900400152,None,202.26698900400152,None,h,1,0.6505651780025801,203.80275892200007,None,203.80275892200007,None,203.80275892200007,None,204.51685297899894,None,204.51685297899894,None,204.51685297899894,None,204.51685297899894,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_1.xlsx,0b,none,beta,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,10,10,10,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.4833841389991,None,206.4833841389991,None,206.4833841389991,None,g,1,0.35327969799982384,208.0200736299994,None,208.0200736299994,None,208.0200736299994,None,208.43387124299988,None,208.43387124299988,None,208.43387124299988,None,208.43387124299988,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_2.xlsx,0b,none,alpha,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,11,11,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.4162649159989,None,210.4162649159989,None,210.4162649159989,None,h,1,1.223008872999344,211.9502935060009,None,211.9502935060009,None,211.9502935060009,None,213.2334419280014,None,213.2334419280014,None,213.2334419280014,None,213.2334419280014,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_2.xlsx,0b,beta,none,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,11,11,11,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.19991716400182,None,215.19991716400182,None,215.19991716400182,None,g,1,0.7117151089987601,216.74956265299988,None,216.74956265299988,None,216.74956265299988,None,217.52133311700163,None,217.52133311700163,None,217.52133311700163,None,217.52133311700163,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0c_1.xlsx,0c,beta,theta,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,1,0,12,12,12,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.49969531100214,None,219.49969531100214,None,219.49969531100214,None,g,1,1.9482109479977225,221.03308505300083,None,221.03308505300083,None,221.03308505300083,None,223.03329582199876,None,223.03329582199876,None,223.03329582199876,None,223.03329582199876,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0c_1.xlsx,0c,theta,alpha,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,1,0,12,12,12,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0000626809997,None,225.0000626809997,None,225.0000626809997,None,h,1,1.184004504000768,226.53326024200214,None,226.53326024200214,None,226.53326024200214,None,227.78357366199998,None,227.78357366199998,None,227.78357366199998,None,227.78357366199998,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0c_1.xlsx,0c,alpha,phi,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,1,0,12,12,12,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.75037685400093,None,229.75037685400093,None,229.75037685400093,None,h,1,1.1064857210003538,231.2827478950021,None,231.2827478950021,None,231.2827478950021,None,232.4502882150009,None,232.4502882150009,None,232.4502882150009,None,232.4502882150009,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0c_1.xlsx,0c,phi,beta,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,1,0,12,12,12,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.41654796399962,None,234.41654796399962,None,234.41654796399962,None,g,1,0.5510472079986357,235.95021237400215,None,235.95021237400215,None,235.95021237400215,None,236.56906605400218,None,236.56906605400218,None,236.56906605400218,None,236.56906605400218,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
