IDCode,Section Sum,mjon1,mjon2,mjon3,mjon4,mjon5,mjon6,mjon7,mjon8,mjon9,mjon10,mjon11,mjon12,mjon13,mjon14,mjon15,mjon16,mjon17,mjon18,mjon19,mjon20,mjon21,mjon22,mjon23,mjon24,mjon25,mjon26,mjon27,mjon28,mjon29,mjon30,mjon31,mjon32,mjon33,mjon34,mjon35,mjon36
0921MeRam,101,2,1,3,3,4,1,3,3,2,1,1,2,2,1,2,2,2,2,1,3,2,4,4,4,5,4,4,5,3,2,4,4,4,4,3,4
0324weleg,72,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,4,2,3,3,3,3,4,4,4,3,3,4
1113SoNor,95,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,4,4,5,5,4,5,5,4,4,5,4,5,5,4,4
yruLookin9,81,1,1,1,2,2,1,1,2,3,2,1,1,3,1,1,2,3,1,1,2,1,3,3,1,4,4,3,1,4,2,5,3,4,3,4,4
1220SaCdm,52,,,3,2,2,,3,3,2,2,,2,3,1,2,,,,1,,,,,,4,4,4,,5,,5,,,4,,
[Decline to Answer],90,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,2,2,1,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4
0221ChFai,98,2,3,4,2,2,1,3,4,2,1,1,2,3,4,5,4,4,4,5,4,4,2,2,2,2,3,3,3,3,2,1,2,3,2,3,1
0805JoBlu,89,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4
1107JuBou,89,1,1,2,1,2,1,2,3,3,3,1,3,3,2,2,1,3,1,3,2,1,4,3,3,4,3,2,4,4,4,3,1,3,3,4,3
122890KeGr,99,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,5,4,5,4,4,5,5,5,4,4,4,4,4,4,4
0619RoRes,119,4,3,5,4,4,4,4,4,2,3,2,2,2,4,3,4,4,4,4,4,4,3,3,2,3,3,3,3,3,5,2,2,3,3,4,3
0809kafro,89,2,1,3,2,3,1,2,3,1,1,1,1,2,1,1,2,2,1,1,2,2,4,1,4,4,4,4,4,4,3,4,3,4,4,3,4
0924SuFai,87,2,1,1,2,2,1,2,3,2,1,1,1,3,1,2,1,1,1,1,2,1,3,4,2,4,3,3,4,3,4,4,4,4,4,4,5
1007evare,75,2,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,4,,,4,4,4,3,4,3,3,3,,3,3,4
1104ApBr,111,2,3,3,4,2,4,3,3,4,1,4,4,4,4,4,4,4,4,3,4,5,3,2,3,3,2,2,3,3,2,1,3,3,3,2,3
0705MiCas,100,2,1,2,2,2,1,2,2,2,2,2,2,3,2,1,2,2,2,2,3,2,4,4,4,4,4,4,4,5,3,3,4,4,4,4,4
1027kiweb,89,2,1,2,1,2,1,2,2,2,2,1,3,3,1,2,2,2,2,1,2,2,3,4,3,4,3,3,3,4,3,4,3,4,3,3,4
